snapshot_date;offer_id;fipe_code;type;brand;model;version_raw;manufacture_year;model_year;price;city;state;store_code;store_name;source;version
2025-08-25;11384923;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;João Pessoa;PB;;João Pessoa Brisamar;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11385068;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Canoas;RS;;Canoas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11385210;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Belo Horizonte;MG;;Belo Horizonte Carlos Luz;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11385499;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Caxias do Sul;RS;;Caxias do Sul;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11385509;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Rio de Janeiro;RJ;;Rio de Janeiro Av. das Américas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11385634;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Nova Iguaçu;RJ;;Nova Iguaçu;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11385802;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Nova Iguaçu;RJ;;Nova Iguaçu;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11385814;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Rio de Janeiro;RJ;;Rio de Janeiro Av. das Américas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11385994;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Caxias do Sul;RS;;Caxias do Sul;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11386096;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Rio de Janeiro;RJ;;Rio de Janeiro Campo Grande;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11386313;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;João Pessoa;PB;;João Pessoa Brisamar;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11386532;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Serra;ES;;Serra;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11386586;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Aricanduva;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11386822;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Belo Horizonte;MG;;Belo Horizonte Antonio Carlos;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11387422;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;João Pessoa;PB;;João Pessoa Brisamar;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11387711;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Nações Unidas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11387970;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Penha;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11388114;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Duque de Caxias;RJ;;Rio de Janeiro Duque de Caxias;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11388200;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;João Pessoa;PB;;João Pessoa Brisamar;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11388196;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Lauro de Freitas;BA;;Lauro de Freitas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11388354;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Belo Horizonte;MG;;Belo Horizonte Antonio Carlos;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11388402;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Rio de Janeiro;RJ;;Rio de Janeiro Vila Valqueire;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11388529;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São José dos Campos;SP;;São José dos Campos;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11388555;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Rio de Janeiro;RJ;;Rio de Janeiro Barra da Tijuca;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11388643;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Contagem;MG;;Contagem Babita Camargo;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11388630;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Uberlândia;MG;;Uberlândia;movida;kwid zen 1.0 flex 12v 5p mec.
