brand_norm;model_norm;version_norm;model_year;fipe_brand;fipe_model;fipe_code;score;match_source;first_seen;last_seen
fiat;cronos;cronos drive 1.0 flex mec;2025;fiat;cronos drive 1.0 6v flex;001553-9;0.8832;contains;2025-08-25;2025-10-15
fiat;cronos;cronos drive 1.3 flex aut;2023;fiat;cronos drive 1.3 8v flex aut.;001554-7;1.0;contains;2025-08-25;2025-10-15
fiat;cronos;cronos drive 1.3 flex aut;2024;fiat;cronos drive 1.3 8v flex aut.;001554-7;1.0;contains;2025-08-25;2025-10-15
fiat;cronos;cronos drive 1.3 flex aut;2025;fiat;cronos drive 1.3 8v flex aut.;001554-7;1.0;contains;2025-08-25;2025-10-15
fiat;cronos;cronos drive 1.3 flex mec;2022;fiat;cronos drive 1.3 8v flex;001505-9;0.8832;contains;2025-08-25;2025-10-15
fiat;cronos;cronos drive 1.3 flex mec;2023;fiat;cronos drive 1.3 8v flex;001505-9;0.8832;contains;2025-08-25;2025-10-15
fiat;cronos;cronos drive 1.3 flex mec;2024;fiat;cronos drive 1.3 8v flex;001505-9;0.8832;contains;2025-08-25;2025-10-15
fiat;cronos;cronos drive 1.3 flex mec;2025;fiat;cronos drive 1.3 8v flex;001505-9;0.8832;contains;2025-08-25;2025-10-15
fiat;cronos;cronos drive flex 1.0 mec;2024;fiat;cronos drive 1.0 6v flex;001553-9;0.7962;contains;2025-08-25;2025-09-15
fiat;cronos;cronos flex 1.3 mec;2022;fiat;cronos 1.3 8v flex;001506-7;0.7307;contains;2025-08-25;2025-09-15
fiat;cronos;cronos precision 1.3 flex aut;2023;fiat;cronos precision 1.3 8v flex aut.;001555-5;1.0;contains;2025-09-26;2025-10-15
fiat;cronos;cronos precision 1.3 flex aut;2024;fiat;cronos precision 1.3 8v flex aut.;001555-5;1.0;contains;2025-08-25;2025-10-15
fiat;cronos;cronos precision 1.8 flex aut adaptado;2021;fiat;cronos precision 1.8 16v flex aut.;001502-4;0.8722;contains;2025-10-15;2025-10-15
fiat;doblo;doblo essence 1.8 flex mec;2021;fiat;doblo essence 1.8 flex 16v 5p;001352-8;0.885;contains;2025-09-15;2025-09-26
fiat;ducato;ducato cargo medio 10m 2.3 diesel mec;2019;fiat;ducato cargo médio 2.3 16v diesel;001498-2;0.8323;contains;2025-08-25;2025-08-25
fiat;fastback;fastback abarth turbo 270 flex aut 1.3;2025;fiat;fastback abarth turbo flex 1.3 aut.;001572-5;0.865;contains;2025-08-31;2025-08-31
fiat;fastback;fastback audace 1.0 flex aut;2023;fiat;fastback audace 1.0 200 t. flex aut;001558-0;0.8171;contains;2025-08-25;2025-09-15
