snapshot_date;offer_id;fipe_code;type;brand;model;version_raw;manufacture_year;model_year;price;city;state;store_code;store_name;source;version
2025-08-25;11399131;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Caxias do Sul;RS;;Caxias do Sul;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11399880;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Betim;MG;;Betim;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11399928;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Várzea Grande;MT;;Várzea Grande;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11399962;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Caxias do Sul;RS;;Caxias do Sul;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11400028;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Caxias do Sul;RS;;Caxias do Sul;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11400103;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Belo Horizonte;MG;;Belo Horizonte Antonio Carlos;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11400298;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Rio de Janeiro;RJ;;Rio de Janeiro Campo Grande;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11400273;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Nova Iguaçu;RJ;;Nova Iguaçu;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11400396;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;Recife;PE;;Recife Espinheiro;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11400381;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;53000;São Paulo;SP;;São Paulo Gastão Vidigal;movida;kwid zen 1.0 flex 12v 5p mec.
