"SNV.latitude","SNV.longitude","Min(SNV.SNV_Conces)","Min(SNV.Rodovia)","CountNonNull(SNV.km - SNV)"
-22.819,-43.317,"ECOVIAS RIO MINAS","BR-116-RJ","168.23597733711048"
-22.818,-43.804,"ECOVIAS RIO MINAS","BR-493-RJ","112.82469879518072"
-22.818,-43.623,"ECOVIAS RIO MINAS","BR-465-RJ",16.19
-22.818,-43.322,"ECOVIAS RIO MINAS","BR-116-RJ","168.68016997167138"
-22.818,-43.321,"ECOVIAS RIO MINAS","BR-116-RJ","168.571388101983"
-22.818,-43.32,"ECOVIAS RIO MINAS","BR-116-RJ","168.52606232294616"
-22.817,-43.803,"ECOVIAS RIO MINAS","BR-493-RJ","112.70180722891565"
-22.817,-43.624,"ECOVIAS RIO MINAS","BR-465-RJ","16.060000000000002"
-22.817,-43.623,"ECOVIAS RIO MINAS","BR-465-RJ",16.17
-22.817,-43.324,"ECOVIAS RIO MINAS","BR-116-RJ","168.89773371104815"
-22.817,-43.323,"ECOVIAS RIO MINAS","BR-116-RJ","168.78895184135976"
-22.817,-43.322,"ECOVIAS RIO MINAS","BR-116-RJ","168.75269121813031"
-22.816,-43.803,"ECOVIAS RIO MINAS","BR-493-RJ","112.5789156626506"
-22.816,-43.625,"ECOVIAS RIO MINAS","BR-465-RJ","15.940000000000001"
-22.816,-43.624,"ECOVIAS RIO MINAS","BR-465-RJ",15.96
-22.816,-43.326,"ECOVIAS RIO MINAS","BR-116-RJ","169.11529745042492"
-22.816,-43.325,"ECOVIAS RIO MINAS","BR-116-RJ","169.00651558073653"
-22.816,-43.324,"ECOVIAS RIO MINAS","BR-116-RJ","168.94305949008498"
-22.815,-43.803,"ECOVIAS RIO MINAS","BR-493-RJ","112.56867469879518"
-22.815,-43.802,"ECOVIAS RIO MINAS","BR-493-RJ","112.45602409638553"
-22.815,-43.625,"ECOVIAS RIO MINAS","BR-465-RJ",15.81
-22.815,-43.328,"ECOVIAS RIO MINAS","BR-116-RJ","169.33286118980169"
-22.815,-43.327,"ECOVIAS RIO MINAS","BR-116-RJ","169.2240793201133"
-22.815,-43.326,"ECOVIAS RIO MINAS","BR-116-RJ","169.14249291784702"
-22.814,-43.802,"ECOVIAS RIO MINAS","BR-493-RJ","112.33313253012048"
-22.814,-43.626,"ECOVIAS RIO MINAS","BR-465-RJ","15.690000000000001"
-22.814,-43.625,"ECOVIAS RIO MINAS","BR-465-RJ",15.75
-22.814,-43.329,"ECOVIAS RIO MINAS","BR-116-RJ","169.44164305949008"
-22.814,-43.328,"ECOVIAS RIO MINAS","BR-116-RJ","169.34192634560907"
-22.813,-43.802,"ECOVIAS RIO MINAS","BR-493-RJ","112.32289156626506"
-22.813,-43.801,"ECOVIAS RIO MINAS","BR-493-RJ","112.17951807228916"
-22.813,-43.626,"ECOVIAS RIO MINAS","BR-465-RJ",15.56
-22.813,-43.331,"ECOVIAS RIO MINAS","BR-116-RJ","169.65920679886685"
-22.813,-43.33,"ECOVIAS RIO MINAS","BR-116-RJ","169.55042492917846"
-22.813,-43.329,"ECOVIAS RIO MINAS","BR-116-RJ","169.53229461756374"
-22.812,-43.801,"ECOVIAS RIO MINAS","BR-493-RJ","112.15903614457831"
-22.812,-43.8,"ECOVIAS RIO MINAS","BR-493-RJ","112.03614457831324"
-22.812,-43.631,"ECOVIAS RIO MINAS","BR-465-RJ","15.020000000000001"
-22.812,-43.63,"ECOVIAS RIO MINAS","BR-465-RJ",15.07
-22.812,-43.629,"ECOVIAS RIO MINAS","BR-465-RJ",15.18
-22.812,-43.628,"ECOVIAS RIO MINAS","BR-465-RJ","15.290000000000001"
-22.812,-43.627,"ECOVIAS RIO MINAS","BR-465-RJ",15.4
-22.812,-43.626,"ECOVIAS RIO MINAS","BR-465-RJ","15.540000000000001"
-22.812,-43.333,"ECOVIAS RIO MINAS","BR-116-RJ","169.87677053824362"
-22.812,-43.332,"ECOVIAS RIO MINAS","BR-116-RJ","169.76798866855523"
-22.812,-43.331,"ECOVIAS RIO MINAS","BR-116-RJ","169.73172804532578"
-22.811,-43.8,"ECOVIAS RIO MINAS","BR-493-RJ","111.99518072289156"
-22.811,-43.799,"ECOVIAS RIO MINAS","BR-493-RJ","111.88253012048192"
-22.811,-43.632,"ECOVIAS RIO MINAS","BR-465-RJ","14.860000000000001"
-22.811,-43.631,"ECOVIAS RIO MINAS","BR-465-RJ",14.93
-22.811,-43.335,"ECOVIAS RIO MINAS","BR-116-RJ","170.09433427762039"
-22.811,-43.334,"ECOVIAS RIO MINAS","BR-116-RJ","169.985552407932"
-22.811,-43.333,"ECOVIAS RIO MINAS","BR-116-RJ","169.93116147308783"
-22.81,-43.799,"ECOVIAS RIO MINAS","BR-493-RJ","111.83132530120481"
-22.81,-43.798,"ECOVIAS RIO MINAS","BR-493-RJ","111.72891566265059"
-22.81,-43.633,"ECOVIAS RIO MINAS","BR-465-RJ",14.71
-22.81,-43.632,"ECOVIAS RIO MINAS","BR-465-RJ","14.780000000000001"
-22.81,-43.337,"ECOVIAS RIO MINAS","BR-116-RJ","170.31189801699716"
-22.81,-43.336,"ECOVIAS RIO MINAS","BR-116-RJ","170.20311614730878"
-22.81,-43.335,"ECOVIAS RIO MINAS","BR-116-RJ","170.13059490084984"
-22.809,-43.798,"ECOVIAS RIO MINAS","BR-493-RJ","111.67771084337349"
-22.809,-43.797,"ECOVIAS RIO MINAS","BR-493-RJ","111.58554216867469"
-22.809,-43.634,"ECOVIAS RIO MINAS","BR-465-RJ","14.540000000000001"
-22.809,-43.633,"ECOVIAS RIO MINAS","BR-465-RJ",14.63
-22.809,-43.338,"ECOVIAS RIO MINAS","BR-116-RJ","170.42067988668555"
-22.809,-43.337,"ECOVIAS RIO MINAS","BR-116-RJ","170.32096317280454"
-22.808,-43.797,"ECOVIAS RIO MINAS","BR-493-RJ","111.51385542168674"
-22.808,-43.796,"ECOVIAS RIO MINAS","BR-493-RJ","111.43192771084337"
-22.808,-43.635,"ECOVIAS RIO MINAS","BR-465-RJ","14.360000000000001"
-22.808,-43.634,"ECOVIAS RIO MINAS","BR-465-RJ",14.49
-22.808,-43.34,"ECOVIAS RIO MINAS","BR-116-RJ","170.62917847025494"
-22.808,-43.339,"ECOVIAS RIO MINAS","BR-116-RJ","170.52039660056656"
-22.807,-43.796,"ECOVIAS RIO MINAS","BR-493-RJ",111.35
-22.807,-43.795,"ECOVIAS RIO MINAS","BR-493-RJ","111.27831325301204"
-22.807,-43.637,"ECOVIAS RIO MINAS","BR-465-RJ",14.18
-22.807,-43.636,"ECOVIAS RIO MINAS","BR-465-RJ",14.22
-22.807,-43.342,"ECOVIAS RIO MINAS","BR-116-RJ","170.84674220963171"
-22.807,-43.341,"ECOVIAS RIO MINAS","BR-116-RJ","170.73796033994333"
-22.807,-43.34,"ECOVIAS RIO MINAS","BR-116-RJ","170.71076487252125"
-22.806,-43.795,"ECOVIAS RIO MINAS","BR-493-RJ","111.18614457831325"
-22.806,-43.794,"ECOVIAS RIO MINAS","BR-493-RJ","111.12469879518072"
-22.806,-43.638,"ECOVIAS RIO MINAS","BR-465-RJ",14
-22.806,-43.637,"ECOVIAS RIO MINAS","BR-465-RJ",14.09
-22.806,-43.344,"ECOVIAS RIO MINAS","BR-116-RJ","171.06430594900849"
-22.806,-43.343,"ECOVIAS RIO MINAS","BR-116-RJ","170.9555240793201"
-22.806,-43.342,"ECOVIAS RIO MINAS","BR-116-RJ","170.91019830028327"
-22.805,-43.794,"ECOVIAS RIO MINAS","BR-493-RJ","111.0222891566265"
-22.805,-43.793,"ECOVIAS RIO MINAS","BR-493-RJ","110.98132530120482"
-22.805,-43.639,"ECOVIAS RIO MINAS","BR-465-RJ",13.82
-22.805,-43.638,"ECOVIAS RIO MINAS","BR-465-RJ","13.950000000000001"
-22.805,-43.346,"ECOVIAS RIO MINAS","BR-116-RJ","171.28186968838526"
-22.805,-43.345,"ECOVIAS RIO MINAS","BR-116-RJ","171.17308781869687"
-22.805,-43.344,"ECOVIAS RIO MINAS","BR-116-RJ","171.10963172804531"
-22.804,-43.793,"ECOVIAS RIO MINAS","BR-493-RJ","110.85843373493975"
-22.804,-43.792,"ECOVIAS RIO MINAS","BR-493-RJ","110.8277108433735"
-22.804,-43.641,"ECOVIAS RIO MINAS","BR-465-RJ",13.64
-22.804,-43.64,"ECOVIAS RIO MINAS","BR-465-RJ","13.690000000000001"
-22.804,-43.347,"ECOVIAS RIO MINAS","BR-116-RJ","171.42236286919831"
-22.804,-43.346,"ECOVIAS RIO MINAS","BR-116-RJ",171.3
-22.803,-43.792,"ECOVIAS RIO MINAS","BR-493-RJ","110.694578313253"
-22.803,-43.791,"ECOVIAS RIO MINAS","BR-493-RJ","110.67409638554216"
-22.803,-43.642,"ECOVIAS RIO MINAS","BR-465-RJ",13.47
-22.803,-43.641,"ECOVIAS RIO MINAS","BR-465-RJ",13.55
-22.803,-43.349,"ECOVIAS RIO MINAS","BR-116-RJ","171.71603375527428"
-22.803,-43.348,"ECOVIAS RIO MINAS","BR-116-RJ","171.5691983122363"
-22.802,-43.791,"ECOVIAS RIO MINAS","BR-493-RJ","110.54096385542168"
-22.802,-43.79,"ECOVIAS RIO MINAS","BR-493-RJ","110.53072289156626"
-22.802,-43.643,"ECOVIAS RIO MINAS","BR-465-RJ",13.32
-22.802,-43.642,"ECOVIAS RIO MINAS","BR-465-RJ",13.41
-22.802,-43.351,"ECOVIAS RIO MINAS","BR-116-RJ","172.00970464135023"
-22.802,-43.35,"ECOVIAS RIO MINAS","BR-116-RJ","171.86286919831224"
-22.802,-43.349,"ECOVIAS RIO MINAS","BR-116-RJ","171.83839662447258"
-22.801,-43.79,"ECOVIAS RIO MINAS","BR-493-RJ","110.37710843373493"
-22.801,-43.644,"ECOVIAS RIO MINAS","BR-465-RJ","13.180000000000001"
-22.801,-43.643,"ECOVIAS RIO MINAS","BR-465-RJ",13.25
-22.801,-43.353,"ECOVIAS RIO MINAS","BR-116-RJ","172.30337552742617"
-22.801,-43.352,"ECOVIAS RIO MINAS","BR-116-RJ","172.15654008438818"
-22.801,-43.351,"ECOVIAS RIO MINAS","BR-116-RJ","172.09535864978903"
-22.8,-43.789,"ECOVIAS RIO MINAS","BR-493-RJ","110.22349397590361"
-22.8,-43.645,"ECOVIAS RIO MINAS","BR-465-RJ","13.040000000000001"
-22.8,-43.644,"ECOVIAS RIO MINAS","BR-465-RJ",13.07
-22.8,-43.355,"ECOVIAS RIO MINAS","BR-116-RJ","172.59704641350211"
-22.8,-43.354,"ECOVIAS RIO MINAS","BR-116-RJ","172.45021097046416"
-22.8,-43.353,"ECOVIAS RIO MINAS","BR-116-RJ","172.36455696202532"
-22.799,-43.789,"ECOVIAS RIO MINAS","BR-493-RJ","110.21325301204818"
